X,Y,Z,__index,__rangexy,return_idx,num_returns,reflectance,elongation,Normal change rate (1),Number of neighbors (r=1),Surface density (r=1),Eigenentropy (1),Anisotropy (1),Planarity (1),Linearity (1),Surface variation (1),Sphericity (1),Verticality (1),3rd eigenvalue (1),Noise
3.18499994,-1.89699996,-0.85200000,7508.000000,3.707000,0.000000,1.000000,156.000000,11.000000,0.019728,4696.000000,1494.783203,0.561674,0.973708,0.280094,0.693614,0.019728,0.026292,0.044878,0.006191,1.000000
1.92299998,-1.16299999,-0.57099998,7511.000000,2.247000,0.000000,1.000000,68.000000,7.000000,0.061190,54.000000,17.188734,0.748716,0.898831,0.451015,0.447816,0.061190,0.101169,0.151107,0.028599,1.000000
1.91499996,-1.34599996,-0.41999999,7611.000000,2.341000,0.000000,2.000000,66.000000,7.000000,0.091666,73.000000,23.236622,0.779811,0.819922,0.604349,0.215573,0.091666,0.180078,0.156648,0.041538,1.000000
2.99099994,-2.63299990,-0.90399998,7704.000000,3.985000,0.000000,1.000000,202.000000,14.000000,0.021328,2903.000000,924.053589,0.518805,0.972600,0.229890,0.742710,0.021328,0.027400,0.047212,0.005842,1.000000
3.00399995,-2.95099998,-0.91700000,7764.000000,4.211000,0.000000,1.000000,232.000000,15.000000,0.022896,2605.000000,829.197205,0.529536,0.969997,0.250390,0.719607,0.022896,0.030003,0.042408,0.006379,1.000000
3.11299992,-3.31900001,-0.66299999,7839.000000,4.551000,0.000000,1.000000,254.000000,15.000000,0.047745,2664.000000,847.977539,0.598564,0.932379,0.281064,0.651315,0.047745,0.067621,0.033669,0.015192,1.000000
3.63400006,-4.28700018,-0.76700002,7895.000000,5.620000,0.000000,1.000000,192.000000,13.000000,0.014130,3294.000000,1048.512695,0.668920,0.976592,0.609848,0.366744,0.014130,0.023408,0.062778,0.005863,1.000000
2.74499989,-3.27399993,-0.58300000,7903.000000,4.273000,0.000000,1.000000,254.000000,15.000000,0.120509,1175.000000,374.014099,0.526314,0.816126,0.158064,0.658062,0.120509,0.183874,0.026493,0.026726,1.000000
2.01399994,-2.88299990,-0.49700001,7994.000000,3.517000,0.000000,2.000000,55.000000,7.000000,0.154447,47.000000,14.960565,0.736843,0.762098,0.064547,0.697551,0.154447,0.237902,0.231759,0.064722,1.000000
2.69600010,-4.06699991,-0.86799997,7997.000000,4.879000,0.000000,1.000000,206.000000,13.000000,0.063189,941.000000,299.529602,0.502559,0.914565,0.181179,0.733386,0.063189,0.085435,0.002245,0.014504,1.000000
